iter	Passed	Remaining
0	0	836
1	1	802
2	2	790
3	3	773
4	3	777
5	4	770
6	5	765
7	6	766
8	6	763
9	7	759
10	8	763
11	9	765
12	10	765
13	10	764
14	11	762
15	12	758
16	13	756
17	13	754
18	14	753
19	15	751
20	16	750
21	16	749
22	17	748
23	18	746
24	19	746
25	19	744
26	20	743
27	21	741
28	22	748
29	23	759
30	24	770
31	25	782
32	27	794
33	27	793
34	28	796
35	29	794
36	30	793
37	31	795
38	32	795
39	33	794
40	34	800
41	35	800
42	35	799
43	36	799
44	37	801
45	38	799
46	39	797
47	40	794
48	40	791
49	41	789
50	42	787
51	43	785
52	43	782
53	44	780
54	45	777
55	45	775
56	46	772
57	47	770
58	48	767
59	48	765
60	49	762
61	50	761
62	51	759
63	51	758
64	52	755
65	53	753
66	54	752
67	54	751
68	55	750
69	56	747
70	57	745
71	57	744
72	58	742
73	59	741
74	59	739
75	60	738
76	61	736
77	62	734
78	62	733
79	63	729
80	64	729
81	65	728
82	65	726
83	66	725
84	67	724
85	67	722
86	68	721
87	69	719
88	70	718
89	70	716
90	71	714
91	72	713
92	73	712
93	73	711
94	74	710
95	75	708
96	76	707
97	76	706
98	77	705
99	78	704
100	79	703
101	79	702
102	80	701
103	81	700
104	81	698
105	82	697
106	83	696
107	84	694
108	84	693
109	85	692
110	86	691
111	87	690
112	87	688
113	88	687
114	89	685
115	89	684
116	90	683
117	91	682
118	92	681
119	92	680
120	93	679
121	94	678
122	95	677
123	95	676
124	96	675
125	97	674
126	97	672
127	98	671
128	99	670
129	100	669
130	100	668
131	101	667
132	102	666
133	102	665
134	103	664
135	104	661
136	104	661
137	105	660
138	106	659
139	107	657
140	107	657
141	108	656
142	109	655
143	109	653
144	110	652
145	111	651
146	112	650
147	112	649
148	113	648
149	114	647
150	115	646
151	115	645
152	116	644
153	117	643
154	117	642
155	118	641
156	119	639
157	119	638
158	120	637
159	121	636
160	122	635
161	122	634
162	123	633
163	124	633
164	124	631
165	125	630
166	126	629
167	126	628
168	127	627
169	128	627
170	129	625
171	129	624
172	130	623
173	131	622
174	131	621
175	132	620
176	133	619
177	134	619
178	134	618
179	135	617
180	136	616
181	136	615
182	137	614
183	138	613
184	139	612
185	139	611
186	140	610
187	141	609
188	141	608
189	142	607
190	143	606
191	144	606
192	144	605
193	145	604
194	146	603
195	146	602
196	147	601
197	148	599
198	148	599
199	149	598
200	150	597
201	151	596
202	151	595
203	152	595
204	153	594
205	154	593
206	154	592
207	155	591
208	156	591
209	156	590
210	157	589
211	158	588
212	159	587
213	159	586
214	160	586
215	161	585
216	162	585
217	163	585
218	164	585
219	165	585
220	166	585
221	168	590
222	169	590
223	170	590
224	171	590
225	172	591
226	173	591
227	174	591
228	175	591
229	176	591
230	177	591
231	178	591
232	179	591
233	180	591
234	181	591
235	182	591
236	184	594
237	185	593
238	186	592
239	186	592
240	187	591
241	194	610
242	195	610
243	196	608
244	197	607
245	197	606
246	198	605
247	199	604
248	200	603
249	200	602
250	201	601
251	202	600
252	202	599
253	203	598
254	204	597
255	205	596
256	205	595
257	206	594
258	207	593
259	208	592
260	208	591
261	209	590
262	210	589
263	210	587
264	211	586
265	212	585
266	212	584
267	213	583
268	214	582
269	215	581
270	215	580
271	216	579
272	217	578
273	218	577
274	218	576
275	219	575
276	220	574
277	221	574
278	221	573
279	222	572
280	223	571
281	223	570
282	224	569
283	225	568
284	226	567
285	226	566
286	227	565
287	228	564
288	228	563
289	229	561
290	230	560
291	230	559
292	231	558
293	232	557
294	232	556
295	233	555
296	234	554
297	235	553
298	235	552
299	236	551
300	237	550
301	237	549
302	238	548
303	239	547
304	240	546
305	240	545
306	241	544
307	242	543
308	242	542
309	243	541
310	244	540
311	244	539
312	245	538
313	246	537
314	246	536
315	247	535
316	248	534
317	248	533
318	249	532
319	250	531
320	250	530
321	251	529
322	252	528
323	253	527
324	253	526
325	254	525
326	255	524
327	255	523
328	256	522
329	257	522
330	257	521
331	258	520
332	259	519
333	259	518
334	260	517
335	261	516
336	261	515
337	262	514
338	263	513
339	263	512
340	264	511
341	265	510
342	266	509
343	266	508
344	267	507
345	268	506
346	268	505
347	269	504
348	270	503
349	270	502
350	271	502
351	272	501
352	272	500
353	273	499
354	274	498
355	275	497
356	275	496
357	276	495
358	277	494
359	277	493
360	278	492
361	279	491
362	279	490
363	280	489
364	281	489
365	281	488
366	282	487
367	283	486
368	283	485
369	284	484
370	285	483
371	285	482
372	286	481
373	287	480
374	287	479
375	288	478
376	288	477
377	289	476
378	290	475
379	291	474
380	291	473
381	292	472
382	292	471
383	293	471
384	294	470
385	294	469
386	295	468
387	296	467
388	297	466
389	297	465
390	298	464
391	298	463
392	299	462
393	300	461
394	300	460
395	301	459
396	301	458
397	302	457
398	303	456
399	303	455
400	304	454
401	305	453
402	305	452
403	306	451
404	306	450
405	307	449
406	308	448
407	308	448
408	309	447
409	310	446
410	310	445
411	311	444
412	311	443
413	312	442
414	313	441
415	313	440
416	314	439
417	315	438
418	315	437
419	316	436
420	317	435
421	317	435
422	318	434
423	318	433
424	319	432
425	320	431
426	320	430
427	321	429
428	321	428
429	322	427
430	323	426
431	323	425
432	324	424
433	324	423
434	325	422
435	326	421
436	326	420
437	327	420
438	327	419
439	328	418
440	329	417
441	329	416
442	330	415
443	331	414
444	331	413
445	332	412
446	332	411
447	333	410
448	334	410
449	334	409
450	335	408
451	336	407
452	336	406
453	337	405
454	337	404
455	338	403
456	339	402
457	339	401
458	340	400
459	340	400
460	341	399
461	342	398
462	342	397
463	343	396
464	343	395
465	344	394
466	345	393
467	345	392
468	346	391
469	346	390
470	347	390
471	348	389
472	348	388
473	349	387
474	349	386
475	350	385
476	351	384
477	351	384
478	352	383
479	352	382
480	353	381
481	354	380
482	354	379
483	355	378
484	355	377
485	356	377
486	357	376
487	357	375
488	358	374
489	359	373
490	359	372
491	360	372
492	360	371
493	361	370
494	362	369
495	362	368
496	363	367
497	363	366
498	364	365
499	365	365
500	365	364
501	366	363
502	366	362
503	367	361
504	368	360
505	368	359
506	369	359
507	369	358
508	370	357
509	371	356
510	371	355
511	372	354
512	373	354
513	373	353
514	374	352
515	374	351
516	375	350
517	376	349
518	376	349
519	377	348
520	377	347
521	378	346
522	379	345
523	379	344
524	380	344
525	380	343
526	381	342
527	382	341
528	382	340
529	383	340
530	384	339
531	384	338
532	385	337
533	385	336
534	386	335
535	387	335
536	387	334
537	388	333
538	389	332
539	389	332
540	390	331
541	391	330
542	391	329
543	392	329
544	393	328
545	393	327
546	394	326
547	395	326
548	395	325
549	396	324
550	397	323
551	397	322
552	398	321
553	398	321
